id,title,price,currency,state_name,shipping_free,logistic_type,seller_status,condition,permalink,storage_gb,model_type,median_segment,is_anomaly
MLA4654347086,iphone 15 base 512gb full,1120813,ARS,Salta,False,fulfillment,silver,new,https://articulo.mercadolibre.com.ar/fake,512,Base,1425569.0,False
MLA4926841589,iphone 15 base 256gb,1106360,ARS,Buenos Aires,False,self_service,gold,new,https://articulo.mercadolibre.com.ar/fake,256,Base,1040328.0,False
MLA1202734228,iphone 15 pro 128gb envio gratis,1416640,ARS,Córdoba,True,fulfillment,platinum,new,https://articulo.mercadolibre.com.ar/fake,128,Pro,1285616.5,False
MLA8264393443,iphone 15 plus 512gb,1077024,ARS,Santa Fe,False,fulfillment,gold,new,https://articulo.mercadolibre.com.ar/fake,512,Plus,1321646.0,False
MLA2903138748,iphone 15 pro 256gb nuevo sellado,1395444,ARS,Salta,True,fulfillment,silver,new,https://articulo.mercadolibre.com.ar/fake,256,Pro,1495382.5,False
MLA6795550743,iphone 15 base 128gb libre,974337,ARS,Salta,True,self_service,silver,new,https://articulo.mercadolibre.com.ar/fake,128,Base,899560.0,False
MLA7769712522,iphone 15 pro 512gb envio gratis,1680570,ARS,Santa Fe,True,fulfillment,silver,new,https://articulo.mercadolibre.com.ar/fake,512,Pro,1805847.5,False
MLA1273582214,iphone 15 plus 256gb garantia oficial,1412501,ARS,Santa Fe,True,self_service,,new,https://articulo.mercadolibre.com.ar/fake,256,Plus,1291797.0,False
MLA6488880674,iphone 15 pro max 256gb full,1950865,ARS,CABA,True,fulfillment,platinum,new,https://articulo.mercadolibre.com.ar/fake,256,Pro Max,1718120.0,False
MLA5338558566,iphone 15 plus 512gb nuevo sellado,823642,ARS,Salta,True,self_service,,new,https://articulo.mercadolibre.com.ar/fake,512,Plus,1321646.0,True
MLA1006638446,iphone 15 pro 512gb,1646287,ARS,CABA,True,fulfillment,platinum,new,https://articulo.mercadolibre.com.ar/fake,512,Pro,1805847.5,False
MLA9300012673,iphone 15 pro 512gb full,1740711,ARS,Santa Fe,False,self_service,,new,https://articulo.mercadolibre.com.ar/fake,512,Pro,1805847.5,False
MLA3759112162,iphone 15 pro 256gb full,1401782,ARS,Salta,True,fulfillment,silver,new,https://articulo.mercadolibre.com.ar/fake,256,Pro,1495382.5,False
MLA6385660091,iphone 15 pro 256gb garantia oficial,1460915,ARS,Salta,False,self_service,,new,https://articulo.mercadolibre.com.ar/fake,256,Pro,1495382.5,False
MLA3288228593,iphone 15 pro 512gb,740282,ARS,Mendoza,False,fulfillment,platinum,new,https://articulo.mercadolibre.com.ar/fake,512,Pro,1805847.5,True
MLA8300816622,iphone 15 base 256gb libre,1120869,ARS,Buenos Aires,True,fulfillment,platinum,new,https://articulo.mercadolibre.com.ar/fake,256,Base,1040328.0,False
MLA2328122314,iphone 15 pro 256gb full,1340009,ARS,CABA,True,self_service,gold,new,https://articulo.mercadolibre.com.ar/fake,256,Pro,1495382.5,False
MLA1821245759,iphone 15 pro max 512gb oferta,1135578,ARS,CABA,False,self_service,silver,new,https://articulo.mercadolibre.com.ar/fake,512,Pro Max,2094279.0,True
MLA9022070481,iphone 15 plus 256gb,1300207,ARS,Salta,False,self_service,gold,new,https://articulo.mercadolibre.com.ar/fake,256,Plus,1291797.0,False
MLA3788049001,iphone 15 pro 512gb envio gratis,1795978,ARS,Córdoba,False,fulfillment,silver,new,https://articulo.mercadolibre.com.ar/fake,512,Pro,1805847.5,False
MLA4779305690,iphone 15 pro 128gb garantia oficial,749716,ARS,Salta,True,fulfillment,,new,https://articulo.mercadolibre.com.ar/fake,128,Pro,1285616.5,True
MLA9525214639,iphone 15 pro 128gb full,1331620,ARS,Buenos Aires,True,fulfillment,,new,https://articulo.mercadolibre.com.ar/fake,128,Pro,1285616.5,False
MLA5083933030,iphone 15 pro max 512gb garantia oficial,2016505,ARS,Córdoba,True,self_service,silver,new,https://articulo.mercadolibre.com.ar/fake,512,Pro Max,2094279.0,False
MLA2134497450,iphone 15 pro 256gb full,1357496,ARS,Salta,False,fulfillment,platinum,new,https://articulo.mercadolibre.com.ar/fake,256,Pro,1495382.5,False
MLA5810544455,iphone 15 plus 512gb libre,3416273,ARS,Buenos Aires,False,self_service,platinum,new,https://articulo.mercadolibre.com.ar/fake,512,Plus,1321646.0,False
MLA4821923353,iphone 15 plus 128gb garantia oficial,1009844,ARS,CABA,False,fulfillment,,new,https://articulo.mercadolibre.com.ar/fake,128,Plus,1097874.0,False
MLA8239774241,iphone 15 plus 128gb,950639,ARS,Salta,False,self_service,gold,new,https://articulo.mercadolibre.com.ar/fake,128,Plus,1097874.0,False
MLA5051224847,iphone 15 pro 512gb full,1938216,ARS,Salta,True,self_service,platinum,new,https://articulo.mercadolibre.com.ar/fake,512,Pro,1805847.5,False
MLA4391712964,iphone 15 plus 256gb nuevo sellado,1175269,ARS,CABA,False,fulfillment,silver,new,https://articulo.mercadolibre.com.ar/fake,256,Plus,1291797.0,False
MLA2802226625,iphone 15 pro 128gb oferta,1260585,ARS,Córdoba,True,fulfillment,platinum,new,https://articulo.mercadolibre.com.ar/fake,128,Pro,1285616.5,False
MLA6947867138,iphone 15 pro 128gb libre,642560,ARS,Córdoba,False,self_service,gold,new,https://articulo.mercadolibre.com.ar/fake,128,Pro,1285616.5,True
MLA3557570077,iphone 15 pro max 512gb garantia oficial,2378635,ARS,Córdoba,True,self_service,platinum,new,https://articulo.mercadolibre.com.ar/fake,512,Pro Max,2094279.0,False
MLA6550057770,iphone 15 pro 512gb garantia oficial,2063568,ARS,Buenos Aires,False,self_service,gold,new,https://articulo.mercadolibre.com.ar/fake,512,Pro,1805847.5,False
MLA3895277511,iphone 15 base 512gb,1442067,ARS,Santa Fe,True,fulfillment,silver,new,https://articulo.mercadolibre.com.ar/fake,512,Base,1425569.0,False
MLA8725599766,iphone 15 pro max 512gb envio gratis,2091557,ARS,CABA,False,self_service,gold,new,https://articulo.mercadolibre.com.ar/fake,512,Pro Max,2094279.0,False
MLA4735461926,iphone 15 base 128gb,966987,ARS,Córdoba,True,fulfillment,gold,new,https://articulo.mercadolibre.com.ar/fake,128,Base,899560.0,False
MLA7004926127,iphone 15 pro 512gb envio gratis,1693238,ARS,Buenos Aires,False,fulfillment,,new,https://articulo.mercadolibre.com.ar/fake,512,Pro,1805847.5,False
MLA4785958029,iphone 15 plus 512gb nuevo sellado,790573,ARS,Salta,False,self_service,gold,new,https://articulo.mercadolibre.com.ar/fake,512,Plus,1321646.0,True
MLA3601812519,iphone 15 pro max 128gb full,1208447,ARS,Buenos Aires,True,fulfillment,,new,https://articulo.mercadolibre.com.ar/fake,128,Pro Max,1367461.0,False
MLA5995895327,iphone 15 base 128gb,1029889,ARS,Mendoza,True,self_service,platinum,new,https://articulo.mercadolibre.com.ar/fake,128,Base,899560.0,False
MLA5821500104,iphone 15 base 256gb garantia oficial,1187640,ARS,Buenos Aires,False,fulfillment,,new,https://articulo.mercadolibre.com.ar/fake,256,Base,1040328.0,False
MLA5337236483,iphone 15 base 128gb libre,1006763,ARS,Santa Fe,True,self_service,,new,https://articulo.mercadolibre.com.ar/fake,128,Base,899560.0,False
MLA4055895428,iphone 15 pro 256gb garantia oficial,658644,ARS,Córdoba,False,self_service,gold,new,https://articulo.mercadolibre.com.ar/fake,256,Pro,1495382.5,True
MLA8858470368,iphone 15 base 256gb full,964691,ARS,Buenos Aires,True,self_service,platinum,new,https://articulo.mercadolibre.com.ar/fake,256,Base,1040328.0,False
MLA1719651546,iphone 15 pro 256gb garantia oficial,1481469,ARS,Santa Fe,False,self_service,,new,https://articulo.mercadolibre.com.ar/fake,256,Pro,1495382.5,False
MLA1865591306,iphone 15 pro max 128gb garantia oficial,965829,ARS,CABA,False,self_service,platinum,new,https://articulo.mercadolibre.com.ar/fake,128,Pro Max,1367461.0,False
MLA5136814346,iphone 15 pro 256gb libre,693659,ARS,Córdoba,False,fulfillment,platinum,new,https://articulo.mercadolibre.com.ar/fake,256,Pro,1495382.5,True
MLA4828335466,iphone 15 plus 256gb,1208826,ARS,CABA,False,fulfillment,platinum,new,https://articulo.mercadolibre.com.ar/fake,256,Plus,1291797.0,False
MLA3124678648,iphone 15 pro 128gb oferta,1298909,ARS,Salta,False,fulfillment,gold,new,https://articulo.mercadolibre.com.ar/fake,128,Pro,1285616.5,False
MLA7327795256,iphone 15 plus 256gb envio gratis,1391250,ARS,Córdoba,False,self_service,silver,new,https://articulo.mercadolibre.com.ar/fake,256,Plus,1291797.0,False
MLA3586154420,iphone 15 base 512gb libre,1128037,ARS,Santa Fe,True,self_service,,new,https://articulo.mercadolibre.com.ar/fake,512,Base,1425569.0,False
MLA9164973699,iphone 15 plus 128gb envio gratis,587074,ARS,CABA,True,fulfillment,gold,new,https://articulo.mercadolibre.com.ar/fake,128,Plus,1097874.0,True
MLA6009676523,iphone 15 plus 512gb,965333,ARS,Mendoza,True,self_service,silver,new,https://articulo.mercadolibre.com.ar/fake,512,Plus,1321646.0,False
MLA6747042573,iphone 15 plus 256gb nuevo sellado,1123827,ARS,Buenos Aires,True,fulfillment,silver,new,https://articulo.mercadolibre.com.ar/fake,256,Plus,1291797.0,False
MLA5141979630,iphone 15 plus 512gb,2322579,ARS,Santa Fe,True,self_service,gold,new,https://articulo.mercadolibre.com.ar/fake,512,Plus,1321646.0,False
MLA1956089665,iphone 15 base 256gb envio gratis,993772,ARS,CABA,True,self_service,,new,https://articulo.mercadolibre.com.ar/fake,256,Base,1040328.0,False
MLA7922106339,iphone 15 pro 512gb,1651103,ARS,CABA,True,fulfillment,platinum,new,https://articulo.mercadolibre.com.ar/fake,512,Pro,1805847.5,False
MLA7387059007,iphone 15 pro 512gb oferta,1903140,ARS,Córdoba,False,self_service,platinum,new,https://articulo.mercadolibre.com.ar/fake,512,Pro,1805847.5,False
MLA7116375038,iphone 15 plus 256gb oferta,1128356,ARS,Mendoza,True,fulfillment,silver,new,https://articulo.mercadolibre.com.ar/fake,256,Plus,1291797.0,False
MLA5352668981,iphone 15 plus 512gb full,2352001,ARS,Córdoba,True,fulfillment,platinum,new,https://articulo.mercadolibre.com.ar/fake,512,Plus,1321646.0,False
MLA5740834681,iphone 15 plus 512gb,1759080,ARS,Santa Fe,True,fulfillment,,new,https://articulo.mercadolibre.com.ar/fake,512,Plus,1321646.0,False
MLA4505023301,iphone 15 pro max 512gb nuevo sellado,1795882,ARS,CABA,True,self_service,platinum,new,https://articulo.mercadolibre.com.ar/fake,512,Pro Max,2094279.0,False
MLA3511363477,iphone 15 pro max 256gb garantia oficial,935492,ARS,Mendoza,True,fulfillment,,new,https://articulo.mercadolibre.com.ar/fake,256,Pro Max,1718120.0,True
MLA8062366004,iphone 15 pro max 128gb nuevo sellado,1863250,ARS,Córdoba,False,self_service,platinum,new,https://articulo.mercadolibre.com.ar/fake,128,Pro Max,1367461.0,False
MLA2886828473,iphone 15 pro max 512gb envio gratis,2142374,ARS,Salta,True,fulfillment,,new,https://articulo.mercadolibre.com.ar/fake,512,Pro Max,2094279.0,False
MLA3289299490,iphone 15 base 128gb libre,390535,ARS,Mendoza,True,self_service,gold,new,https://articulo.mercadolibre.com.ar/fake,128,Base,899560.0,True
MLA8839239219,iphone 15 base 512gb garantia oficial,1151832,ARS,Buenos Aires,True,fulfillment,,new,https://articulo.mercadolibre.com.ar/fake,512,Base,1425569.0,False
MLA4428202197,iphone 15 pro 256gb,3084919,ARS,Buenos Aires,True,self_service,gold,new,https://articulo.mercadolibre.com.ar/fake,256,Pro,1495382.5,False
MLA4586548705,iphone 15 plus 512gb nuevo sellado,893401,ARS,Salta,True,fulfillment,silver,new,https://articulo.mercadolibre.com.ar/fake,512,Plus,1321646.0,True
MLA2076424093,iphone 15 pro max 128gb libre,2060603,ARS,Santa Fe,False,fulfillment,platinum,new,https://articulo.mercadolibre.com.ar/fake,128,Pro Max,1367461.0,False
MLA7314601970,iphone 15 pro 512gb libre,1663286,ARS,CABA,False,fulfillment,silver,new,https://articulo.mercadolibre.com.ar/fake,512,Pro,1805847.5,False
MLA2147028607,iphone 15 pro max 512gb oferta,1968961,ARS,Salta,False,fulfillment,silver,new,https://articulo.mercadolibre.com.ar/fake,512,Pro Max,2094279.0,False
MLA3972284588,iphone 15 pro max 512gb libre,2114614,ARS,CABA,True,self_service,,new,https://articulo.mercadolibre.com.ar/fake,512,Pro Max,2094279.0,False
MLA7666385495,iphone 15 plus 128gb oferta,1191760,ARS,Santa Fe,False,fulfillment,silver,new,https://articulo.mercadolibre.com.ar/fake,128,Plus,1097874.0,False
MLA1041176255,iphone 15 pro max 128gb full,1155973,ARS,Córdoba,False,fulfillment,platinum,new,https://articulo.mercadolibre.com.ar/fake,128,Pro Max,1367461.0,False
MLA3861181250,iphone 15 pro 512gb full,1791708,ARS,Santa Fe,False,fulfillment,silver,new,https://articulo.mercadolibre.com.ar/fake,512,Pro,1805847.5,False
MLA6488407500,iphone 15 base 256gb oferta,897157,ARS,Salta,True,self_service,gold,new,https://articulo.mercadolibre.com.ar/fake,256,Base,1040328.0,False
MLA7190791682,iphone 15 base 512gb garantia oficial,1065772,ARS,CABA,True,self_service,silver,new,https://articulo.mercadolibre.com.ar/fake,512,Base,1425569.0,False
MLA1137144707,iphone 15 pro max 128gb oferta,1627505,ARS,Buenos Aires,False,fulfillment,silver,new,https://articulo.mercadolibre.com.ar/fake,128,Pro Max,1367461.0,False
MLA7444620414,iphone 15 plus 128gb libre,1017398,ARS,Santa Fe,False,self_service,platinum,new,https://articulo.mercadolibre.com.ar/fake,128,Plus,1097874.0,False
MLA5128230594,iphone 15 base 256gb,1188974,ARS,Salta,False,self_service,gold,new,https://articulo.mercadolibre.com.ar/fake,256,Base,1040328.0,False
MLA3603343893,iphone 15 pro 128gb garantia oficial,1480986,ARS,Santa Fe,False,self_service,platinum,new,https://articulo.mercadolibre.com.ar/fake,128,Pro,1285616.5,False
MLA2290809767,iphone 15 pro max 256gb,1719708,ARS,Salta,False,fulfillment,gold,new,https://articulo.mercadolibre.com.ar/fake,256,Pro Max,1718120.0,False
MLA1856882860,iphone 15 pro 128gb envio gratis,1195885,ARS,Buenos Aires,True,self_service,,new,https://articulo.mercadolibre.com.ar/fake,128,Pro,1285616.5,False
MLA5292710188,iphone 15 base 512gb envio gratis,2107559,ARS,Buenos Aires,False,self_service,platinum,new,https://articulo.mercadolibre.com.ar/fake,512,Base,1425569.0,False
MLA1244554814,iphone 15 plus 128gb full,967795,ARS,Córdoba,False,self_service,silver,new,https://articulo.mercadolibre.com.ar/fake,128,Plus,1097874.0,False
MLA6281933461,iphone 15 pro max 256gb,1716532,ARS,Buenos Aires,False,self_service,,new,https://articulo.mercadolibre.com.ar/fake,256,Pro Max,1718120.0,False
MLA4556294240,iphone 15 pro 512gb nuevo sellado,2005590,ARS,Córdoba,False,self_service,platinum,new,https://articulo.mercadolibre.com.ar/fake,512,Pro,1805847.5,False
MLA8658582455,iphone 15 plus 512gb,1041196,ARS,Mendoza,True,self_service,gold,new,https://articulo.mercadolibre.com.ar/fake,512,Plus,1321646.0,False
MLA7270580256,iphone 15 pro 256gb nuevo sellado,3080458,ARS,Buenos Aires,False,self_service,silver,new,https://articulo.mercadolibre.com.ar/fake,256,Pro,1495382.5,False
MLA8758257506,iphone 15 pro 512gb oferta,2035200,ARS,CABA,False,self_service,platinum,new,https://articulo.mercadolibre.com.ar/fake,512,Pro,1805847.5,False
MLA9817481443,iphone 15 base 512gb libre,1319934,ARS,Salta,True,fulfillment,gold,new,https://articulo.mercadolibre.com.ar/fake,512,Base,1425569.0,False
MLA5677437675,iphone 15 base 512gb envio gratis,806658,ARS,Buenos Aires,False,self_service,silver,new,https://articulo.mercadolibre.com.ar/fake,512,Base,1425569.0,True
MLA7550864072,iphone 15 plus 128gb libre,1136577,ARS,Córdoba,True,self_service,platinum,new,https://articulo.mercadolibre.com.ar/fake,128,Plus,1097874.0,False
MLA5543058531,iphone 15 plus 128gb full,971356,ARS,Mendoza,True,fulfillment,silver,new,https://articulo.mercadolibre.com.ar/fake,128,Plus,1097874.0,False
MLA5025121874,iphone 15 plus 256gb garantia oficial,1227197,ARS,CABA,False,fulfillment,gold,new,https://articulo.mercadolibre.com.ar/fake,256,Plus,1291797.0,False
MLA9530668569,iphone 15 pro 512gb garantia oficial,1866635,ARS,Mendoza,False,self_service,gold,new,https://articulo.mercadolibre.com.ar/fake,512,Pro,1805847.5,False
MLA6330535562,iphone 15 plus 256gb full,474222,ARS,Córdoba,True,fulfillment,gold,new,https://articulo.mercadolibre.com.ar/fake,256,Plus,1291797.0,True
MLA1701769396,iphone 15 pro 128gb,1288979,ARS,Salta,False,fulfillment,silver,new,https://articulo.mercadolibre.com.ar/fake,128,Pro,1285616.5,False
MLA4948390687,iphone 15 plus 512gb envio gratis,1191317,ARS,Córdoba,False,fulfillment,silver,new,https://articulo.mercadolibre.com.ar/fake,512,Plus,1321646.0,False
MLA3510742406,iphone 15 plus 512gb oferta,2245990,ARS,Buenos Aires,True,fulfillment,,new,https://articulo.mercadolibre.com.ar/fake,512,Plus,1321646.0,False
MLA6513278695,iphone 15 pro max 128gb nuevo sellado,1661701,ARS,Buenos Aires,False,fulfillment,silver,new,https://articulo.mercadolibre.com.ar/fake,128,Pro Max,1367461.0,False
MLA7828784971,iphone 15 base 128gb garantia oficial,841746,ARS,Córdoba,True,fulfillment,silver,new,https://articulo.mercadolibre.com.ar/fake,128,Base,899560.0,False
MLA1698693800,iphone 15 plus 128gb garantia oficial,1068574,ARS,Santa Fe,True,self_service,,new,https://articulo.mercadolibre.com.ar/fake,128,Plus,1097874.0,False
MLA8863206504,iphone 15 plus 128gb envio gratis,1054389,ARS,Córdoba,False,fulfillment,silver,new,https://articulo.mercadolibre.com.ar/fake,128,Plus,1097874.0,False
MLA5851565508,iphone 15 pro 128gb full,1411031,ARS,Córdoba,False,self_service,silver,new,https://articulo.mercadolibre.com.ar/fake,128,Pro,1285616.5,False
MLA1232912792,iphone 15 pro max 512gb,2023333,ARS,Mendoza,True,self_service,platinum,new,https://articulo.mercadolibre.com.ar/fake,512,Pro Max,2094279.0,False
MLA6210485636,iphone 15 pro 128gb nuevo sellado,1208746,ARS,Salta,False,fulfillment,platinum,new,https://articulo.mercadolibre.com.ar/fake,128,Pro,1285616.5,False
MLA2491646629,iphone 15 pro 128gb oferta,1131199,ARS,Córdoba,True,self_service,silver,new,https://articulo.mercadolibre.com.ar/fake,128,Pro,1285616.5,False
MLA3991774707,iphone 15 pro 128gb nuevo sellado,1111040,ARS,Salta,True,fulfillment,platinum,new,https://articulo.mercadolibre.com.ar/fake,128,Pro,1285616.5,False
MLA1725145151,iphone 15 pro max 512gb nuevo sellado,2308683,ARS,Buenos Aires,False,self_service,,new,https://articulo.mercadolibre.com.ar/fake,512,Pro Max,2094279.0,False
MLA5538535593,iphone 15 base 128gb libre,795077,ARS,CABA,True,fulfillment,gold,new,https://articulo.mercadolibre.com.ar/fake,128,Base,899560.0,False
MLA9865948891,iphone 15 base 512gb full,2220476,ARS,Córdoba,False,self_service,gold,new,https://articulo.mercadolibre.com.ar/fake,512,Base,1425569.0,False
MLA7025033016,iphone 15 pro 512gb envio gratis,1802659,ARS,Santa Fe,False,self_service,gold,new,https://articulo.mercadolibre.com.ar/fake,512,Pro,1805847.5,False
MLA4806163896,iphone 15 base 256gb,1069910,ARS,CABA,True,self_service,platinum,new,https://articulo.mercadolibre.com.ar/fake,256,Base,1040328.0,False
MLA8021230012,iphone 15 plus 512gb libre,1560427,ARS,Córdoba,True,self_service,silver,new,https://articulo.mercadolibre.com.ar/fake,512,Plus,1321646.0,False
MLA1358557023,iphone 15 plus 512gb garantia oficial,1724989,ARS,Córdoba,False,self_service,silver,new,https://articulo.mercadolibre.com.ar/fake,512,Plus,1321646.0,False
MLA3618200506,iphone 15 plus 512gb oferta,772578,ARS,Santa Fe,True,fulfillment,,new,https://articulo.mercadolibre.com.ar/fake,512,Plus,1321646.0,True
MLA4199821899,iphone 15 base 256gb nuevo sellado,908533,ARS,Córdoba,False,self_service,silver,new,https://articulo.mercadolibre.com.ar/fake,256,Base,1040328.0,False
MLA8553746365,iphone 15 base 256gb envio gratis,1153249,ARS,Santa Fe,False,fulfillment,gold,new,https://articulo.mercadolibre.com.ar/fake,256,Base,1040328.0,False
MLA2208622945,iphone 15 plus 512gb,1271142,ARS,Buenos Aires,True,self_service,,new,https://articulo.mercadolibre.com.ar/fake,512,Plus,1321646.0,False
MLA7020042909,iphone 15 pro 256gb full,1403441,ARS,Córdoba,False,self_service,gold,new,https://articulo.mercadolibre.com.ar/fake,256,Pro,1495382.5,False
MLA9902055173,iphone 15 pro max 128gb oferta,820543,ARS,Buenos Aires,True,fulfillment,gold,new,https://articulo.mercadolibre.com.ar/fake,128,Pro Max,1367461.0,True
MLA7525258417,iphone 15 pro max 128gb nuevo sellado,1185934,ARS,Salta,True,self_service,gold,new,https://articulo.mercadolibre.com.ar/fake,128,Pro Max,1367461.0,False
MLA5240192428,iphone 15 pro 512gb oferta,1707609,ARS,CABA,True,fulfillment,silver,new,https://articulo.mercadolibre.com.ar/fake,512,Pro,1805847.5,False
MLA1846723418,iphone 15 plus 128gb full,1208980,ARS,Mendoza,False,self_service,,new,https://articulo.mercadolibre.com.ar/fake,128,Plus,1097874.0,False
MLA2553537184,iphone 15 plus 256gb nuevo sellado,1371300,ARS,Mendoza,False,self_service,gold,new,https://articulo.mercadolibre.com.ar/fake,256,Plus,1291797.0,False
MLA6326526938,iphone 15 pro 128gb oferta,1307667,ARS,Mendoza,False,self_service,platinum,new,https://articulo.mercadolibre.com.ar/fake,128,Pro,1285616.5,False
MLA1677515363,iphone 15 plus 256gb envio gratis,1360725,ARS,Salta,False,fulfillment,platinum,new,https://articulo.mercadolibre.com.ar/fake,256,Plus,1291797.0,False
MLA1354512876,iphone 15 base 512gb,1303233,ARS,Mendoza,False,fulfillment,silver,new,https://articulo.mercadolibre.com.ar/fake,512,Base,1425569.0,False
MLA3457000786,iphone 15 pro 128gb nuevo sellado,1113950,ARS,Mendoza,True,self_service,platinum,new,https://articulo.mercadolibre.com.ar/fake,128,Pro,1285616.5,False
MLA3744566449,iphone 15 base 512gb oferta,1052045,ARS,Córdoba,False,fulfillment,gold,new,https://articulo.mercadolibre.com.ar/fake,512,Base,1425569.0,False
MLA1338345427,iphone 15 pro 512gb envio gratis,1780994,ARS,Mendoza,True,fulfillment,,new,https://articulo.mercadolibre.com.ar/fake,512,Pro,1805847.5,False
MLA6722651059,iphone 15 plus 256gb,1301697,ARS,Salta,False,fulfillment,,new,https://articulo.mercadolibre.com.ar/fake,256,Plus,1291797.0,False
MLA6348810651,iphone 15 plus 128gb full,1086736,ARS,Córdoba,False,fulfillment,platinum,new,https://articulo.mercadolibre.com.ar/fake,128,Plus,1097874.0,False
MLA2856602169,iphone 15 plus 256gb envio gratis,1165713,ARS,CABA,True,self_service,platinum,new,https://articulo.mercadolibre.com.ar/fake,256,Plus,1291797.0,False
MLA6341326634,iphone 15 base 128gb libre,915362,ARS,CABA,True,fulfillment,gold,new,https://articulo.mercadolibre.com.ar/fake,128,Base,899560.0,False
MLA9649844851,iphone 15 plus 256gb,1194096,ARS,CABA,True,fulfillment,platinum,new,https://articulo.mercadolibre.com.ar/fake,256,Plus,1291797.0,False
MLA2759655177,iphone 15 plus 256gb garantia oficial,1354617,ARS,Córdoba,True,fulfillment,gold,new,https://articulo.mercadolibre.com.ar/fake,256,Plus,1291797.0,False
MLA3441882433,iphone 15 pro 128gb nuevo sellado,1345916,ARS,Salta,True,self_service,gold,new,https://articulo.mercadolibre.com.ar/fake,128,Pro,1285616.5,False
MLA6673450297,iphone 15 plus 256gb,1299171,ARS,Buenos Aires,False,self_service,silver,new,https://articulo.mercadolibre.com.ar/fake,256,Plus,1291797.0,False
MLA8508469229,iphone 15 pro 128gb envio gratis,1434961,ARS,CABA,False,self_service,gold,new,https://articulo.mercadolibre.com.ar/fake,128,Pro,1285616.5,False
MLA8227640605,iphone 15 plus 128gb garantia oficial,1165199,ARS,Santa Fe,False,self_service,,new,https://articulo.mercadolibre.com.ar/fake,128,Plus,1097874.0,False
MLA1601859168,iphone 15 pro max 128gb full,852564,ARS,Santa Fe,False,fulfillment,silver,new,https://articulo.mercadolibre.com.ar/fake,128,Pro Max,1367461.0,True
MLA2571099861,iphone 15 plus 128gb oferta,950715,ARS,Buenos Aires,False,fulfillment,gold,new,https://articulo.mercadolibre.com.ar/fake,128,Plus,1097874.0,False
MLA5030425441,iphone 15 pro 256gb oferta,819798,ARS,Mendoza,False,fulfillment,platinum,new,https://articulo.mercadolibre.com.ar/fake,256,Pro,1495382.5,True
MLA9462416083,iphone 15 base 512gb nuevo sellado,1486359,ARS,Córdoba,False,fulfillment,platinum,new,https://articulo.mercadolibre.com.ar/fake,512,Base,1425569.0,False
MLA4008992998,iphone 15 base 128gb garantia oficial,967392,ARS,Salta,True,fulfillment,silver,new,https://articulo.mercadolibre.com.ar/fake,128,Base,899560.0,False
MLA1082793781,iphone 15 base 128gb garantia oficial,1865470,ARS,CABA,False,self_service,platinum,new,https://articulo.mercadolibre.com.ar/fake,128,Base,899560.0,False
MLA8759598122,iphone 15 plus 512gb garantia oficial,1469152,ARS,Córdoba,False,self_service,silver,new,https://articulo.mercadolibre.com.ar/fake,512,Plus,1321646.0,False
MLA9572988215,iphone 15 pro max 256gb,1523889,ARS,Buenos Aires,False,self_service,silver,new,https://articulo.mercadolibre.com.ar/fake,256,Pro Max,1718120.0,False
